pid,segment,cluster
725,Moderate,1
726,Moderate,1
727,Moderate,1
728,High engagers,0
729,Passive,2
730,High engagers,0
731,Moderate,1
732,Moderate,1
733,High engagers,0
734,Passive,2
735,Passive,2
736,High engagers,0
737,Moderate,1
738,Passive,2
739,Passive,2
740,Passive,2
741,Moderate,1
742,High engagers,0
743,Moderate,1
744,High engagers,0
745,High engagers,0
746,Moderate,1
747,Moderate,1
748,Passive,2
749,High engagers,0
750,Moderate,1
751,Moderate,1
752,High engagers,0
753,Moderate,1
754,Passive,2
755,Moderate,1
756,Passive,2
757,High engagers,0
758,Moderate,1
759,High engagers,0
760,Passive,2
761,Passive,2
762,Moderate,1
763,Moderate,1
764,High engagers,0
765,High engagers,0
766,High engagers,0
767,High engagers,0
768,Passive,2
769,Moderate,1
770,Moderate,1
771,Passive,2
772,Moderate,1
773,High engagers,0
774,High engagers,0
775,Moderate,1
776,High engagers,0
777,Passive,2
778,Moderate,1
779,Moderate,1
780,Moderate,1
781,High engagers,0
782,High engagers,0
783,High engagers,0
784,High engagers,0
786,Moderate,1
787,High engagers,0
788,Moderate,1
789,Moderate,1
790,High engagers,0
791,Moderate,1
792,Passive,2
793,High engagers,0
794,Passive,2
795,High engagers,0
796,Passive,2
797,Passive,2
798,Moderate,1
799,High engagers,0
800,High engagers,0
801,High engagers,0
802,Moderate,1
803,High engagers,0
804,High engagers,0
805,High engagers,0
806,High engagers,0
807,Moderate,1
808,High engagers,0
809,High engagers,0
810,Passive,2
811,Moderate,1
812,Moderate,1
814,Moderate,1
815,High engagers,0
816,Passive,2
817,High engagers,0
818,Passive,2
819,High engagers,0
820,Passive,2
821,High engagers,0
822,Passive,2
823,High engagers,0
824,Moderate,1
825,High engagers,0
826,Moderate,1
827,High engagers,0
828,Passive,2
829,High engagers,0
830,High engagers,0
831,High engagers,0
832,High engagers,0
833,Passive,2
834,High engagers,0
835,Passive,2
836,High engagers,0
837,Passive,2
839,Moderate,1
840,High engagers,0
841,Moderate,1
842,Passive,2
843,High engagers,0
844,High engagers,0
845,High engagers,0
846,High engagers,0
847,Moderate,1
848,High engagers,0
849,Passive,2
850,Moderate,1
851,High engagers,0
852,Moderate,1
853,High engagers,0
854,Moderate,1
855,Moderate,1
856,High engagers,0
857,Passive,2
858,Moderate,1
859,High engagers,0
860,High engagers,0
861,Passive,2
862,Moderate,1
863,Passive,2
864,Moderate,1
865,Moderate,1
866,High engagers,0
867,High engagers,0
868,High engagers,0
869,High engagers,0
870,High engagers,0
871,Passive,2
872,Moderate,1
873,Moderate,1
874,Passive,2
875,Moderate,1
876,High engagers,0
877,Passive,2
878,High engagers,0
879,High engagers,0
880,High engagers,0
881,High engagers,0
882,High engagers,0
883,Passive,2
884,High engagers,0
885,High engagers,0
886,Moderate,1
887,Passive,2
888,Passive,2
889,High engagers,0
890,High engagers,0
891,High engagers,0
893,High engagers,0
894,High engagers,0
895,Moderate,1
896,Passive,2
897,High engagers,0
898,Passive,2
899,High engagers,0
900,Passive,2
901,High engagers,0
902,High engagers,0
903,High engagers,0
904,Moderate,1
905,High engagers,0
906,High engagers,0
907,High engagers,0
908,High engagers,0
909,High engagers,0
910,High engagers,0
911,High engagers,0
912,Moderate,1
913,High engagers,0
917,Passive,2
918,Passive,2
919,High engagers,0
920,Passive,2
921,Moderate,1
922,Moderate,1
923,Moderate,1
924,High engagers,0
925,Passive,2
926,Passive,2
927,Passive,2
928,High engagers,0
929,High engagers,0
930,Moderate,1
931,High engagers,0
932,High engagers,0
933,High engagers,0
934,High engagers,0
935,Passive,2
936,High engagers,0
937,High engagers,0
938,Passive,2
939,Moderate,1
940,High engagers,0
941,High engagers,0
942,Passive,2
943,High engagers,0
944,Moderate,1
945,High engagers,0
946,Passive,2
947,Moderate,1
948,High engagers,0
949,Passive,2
950,High engagers,0
951,High engagers,0
952,Passive,2
953,High engagers,0
954,Passive,2
955,Passive,2
956,High engagers,0
957,Passive,2
958,High engagers,0
959,Moderate,1
960,Moderate,1
961,Moderate,1
962,Moderate,1
963,Moderate,1
964,Passive,2
966,Moderate,1
967,Passive,2
968,High engagers,0
969,High engagers,0
970,Moderate,1
971,High engagers,0
972,High engagers,0
973,Passive,2
974,Passive,2
975,High engagers,0
976,High engagers,0
977,High engagers,0
978,High engagers,0
979,Moderate,1
980,Passive,2
982,High engagers,0
983,High engagers,0
984,Passive,2
985,High engagers,0
986,High engagers,0
987,Moderate,1
988,High engagers,0
989,Passive,2
990,Passive,2
991,Moderate,1
992,Passive,2
993,High engagers,0
994,High engagers,0
995,Passive,2
996,Moderate,1
997,Passive,2
998,Moderate,1
999,High engagers,0
1000,Moderate,1
1001,High engagers,0
1002,Moderate,1
1003,Passive,2
1004,High engagers,0
1005,Passive,2
1006,Moderate,1
1007,Passive,2
1008,Passive,2
1009,Moderate,1
1010,High engagers,0
1011,Moderate,1
1012,Moderate,1
1013,Passive,2
1014,High engagers,0
1015,High engagers,0
1016,Moderate,1
1017,Passive,2
1018,High engagers,0
1019,High engagers,0
1020,High engagers,0
1021,High engagers,0
1022,High engagers,0
1024,Moderate,1
1025,Passive,2
1026,Moderate,1
1027,High engagers,0
1028,Moderate,1
1029,Moderate,1
1030,High engagers,0
1031,Passive,2
1032,Moderate,1
1033,High engagers,0
1034,Moderate,1
1035,Passive,2
1036,High engagers,0
1037,Moderate,1
1038,High engagers,0
1039,Passive,2
1040,High engagers,0
1041,High engagers,0
1042,High engagers,0
1043,High engagers,0
1044,High engagers,0
1045,High engagers,0
1046,Passive,2
1047,High engagers,0
1048,High engagers,0
1049,Moderate,1
1050,High engagers,0
1051,Moderate,1
1052,High engagers,0
1053,High engagers,0
1054,Passive,2
1055,Passive,2
1056,Moderate,1
1057,High engagers,0
1058,High engagers,0
1059,Moderate,1
1060,High engagers,0
1062,High engagers,0
1063,Passive,2
1064,High engagers,0
1065,High engagers,0
1067,Moderate,1
1068,High engagers,0
1069,High engagers,0
1070,High engagers,0
1071,High engagers,0
1072,High engagers,0
1073,Moderate,1
1074,Passive,2
1075,High engagers,0
1076,High engagers,0
1077,High engagers,0
1078,Passive,2
1079,Moderate,1
1080,Moderate,1
1081,High engagers,0
1082,High engagers,0
1083,Passive,2
1084,Moderate,1
1085,High engagers,0
1086,High engagers,0
1087,High engagers,0
1088,Moderate,1
1089,High engagers,0
1090,High engagers,0
1091,Moderate,1
1092,Moderate,1
1093,Passive,2
1094,High engagers,0
1095,High engagers,0
1096,Moderate,1
1097,High engagers,0
1098,Passive,2
1099,High engagers,0
1100,Passive,2
1101,High engagers,0
1102,High engagers,0
1103,High engagers,0
1104,Moderate,1
1105,High engagers,0
1106,Moderate,1
1107,Passive,2
1108,Passive,2
1110,Passive,2
1111,Passive,2
1112,High engagers,0
1113,High engagers,0
1114,High engagers,0
1116,High engagers,0
1117,High engagers,0
1118,Moderate,1
1119,Moderate,1
1120,High engagers,0
1121,High engagers,0
1122,High engagers,0
1123,High engagers,0
1124,Moderate,1
1125,Passive,2
1126,High engagers,0
1127,Moderate,1
1128,High engagers,0
1129,Moderate,1
1131,High engagers,0
1132,Passive,2
1133,Passive,2
1134,Moderate,1
1135,Passive,2
1136,Moderate,1
1137,Passive,2
1138,High engagers,0
1139,Moderate,1
1140,Passive,2
1141,High engagers,0
1142,Passive,2
1143,High engagers,0
1144,Moderate,1
1145,Passive,2
1146,Passive,2
1147,Moderate,1
1148,Moderate,1
1149,High engagers,0
1150,Passive,2
1151,Moderate,1
1152,Passive,2
1153,High engagers,0
1154,Moderate,1
1155,High engagers,0
1156,Passive,2
1157,Passive,2
1158,Passive,2
1159,Moderate,1
1160,Moderate,1
1161,High engagers,0
1162,High engagers,0
1163,High engagers,0
1164,High engagers,0
1165,Moderate,1
1166,High engagers,0
1167,Passive,2
1168,High engagers,0
1169,Moderate,1
1170,High engagers,0
1171,High engagers,0
1172,High engagers,0
1173,High engagers,0
1174,Passive,2
1175,Moderate,1
1176,High engagers,0
1177,High engagers,0
1178,High engagers,0
1179,Passive,2
1180,High engagers,0
1181,High engagers,0
1182,Moderate,1
1183,High engagers,0
1184,High engagers,0
1185,High engagers,0
1186,High engagers,0
1187,High engagers,0
1189,Passive,2
1190,High engagers,0
1191,High engagers,0
1192,High engagers,0
1193,Moderate,1
1195,High engagers,0
1196,High engagers,0
1197,Moderate,1
1198,Moderate,1
1199,High engagers,0
1200,Moderate,1
1201,Moderate,1
1202,Passive,2
1203,Moderate,1
1204,Moderate,1
1205,High engagers,0
1206,Passive,2
1207,Moderate,1
1208,Moderate,1
1209,High engagers,0
1210,Passive,2
1211,Moderate,1
1212,Passive,2
1213,Moderate,1
1214,Moderate,1
1215,Passive,2
1216,Moderate,1
1217,Passive,2
1218,Moderate,1
1219,High engagers,0
1220,High engagers,0
1221,Moderate,1
1222,Passive,2
1223,Passive,2
1224,Passive,2
1225,High engagers,0
1226,Passive,2
1227,Moderate,1
1228,High engagers,0
1229,High engagers,0
1230,Passive,2
1231,High engagers,0
1232,High engagers,0
1233,Moderate,1
1234,Moderate,1
1235,High engagers,0
1236,High engagers,0
1237,Passive,2
1238,High engagers,0
1239,High engagers,0
1240,High engagers,0
1241,Moderate,1
1242,High engagers,0
1243,High engagers,0
1244,High engagers,0
1245,High engagers,0
1246,Moderate,1
1247,Moderate,1
1248,High engagers,0
1249,High engagers,0
1250,High engagers,0
1251,Passive,2
1252,High engagers,0
1253,High engagers,0
1254,Passive,2
1255,High engagers,0
1256,High engagers,0
1257,Passive,2
1258,Passive,2
1259,High engagers,0
1261,High engagers,0
1262,High engagers,0
1263,High engagers,0
1264,High engagers,0
1265,High engagers,0
1266,Passive,2
1267,High engagers,0
1269,High engagers,0
1270,Passive,2
1272,Moderate,1
1273,Passive,2
1274,Passive,2
1275,Moderate,1
1276,Passive,2
1277,Passive,2
1278,High engagers,0
1279,Passive,2
1280,Moderate,1
1281,High engagers,0
1282,Moderate,1
1283,High engagers,0
1284,Passive,2
1285,Passive,2
1286,Moderate,1
1287,High engagers,0
1288,Passive,2
1289,High engagers,0
1290,High engagers,0
1291,High engagers,0
1292,Passive,2
1293,Passive,2
1294,Moderate,1
1295,High engagers,0
1296,High engagers,0
1297,Moderate,1
1298,High engagers,0
1299,Passive,2
1300,Passive,2
1301,Moderate,1
1302,Moderate,1
1303,Moderate,1
1304,High engagers,0
1305,High engagers,0
1306,Passive,2
1307,Moderate,1
1308,Passive,2
1309,High engagers,0
1310,Moderate,1
1311,High engagers,0
1312,High engagers,0
1313,Passive,2
1314,High engagers,0
1315,High engagers,0
1316,Passive,2
1317,Passive,2
1318,High engagers,0
1319,High engagers,0
1320,Passive,2
1321,Moderate,1
1322,Passive,2
1323,Moderate,1
1324,Passive,2
1325,Passive,2
1326,High engagers,0
1327,Passive,2
1328,Moderate,1
1329,Passive,2
1330,High engagers,0
1331,Moderate,1
1332,High engagers,0
1333,High engagers,0
1336,Passive,2
1337,High engagers,0
1338,High engagers,0
1339,High engagers,0
1340,Moderate,1
1341,High engagers,0
1342,Moderate,1
1343,Moderate,1
1344,Moderate,1
1346,Moderate,1
1347,Passive,2
1348,High engagers,0
1349,Passive,2
1350,High engagers,0
1351,Moderate,1
1352,High engagers,0
1353,Moderate,1
1354,Passive,2
1355,Moderate,1
1356,Moderate,1
1357,Passive,2
1358,Passive,2
1359,Passive,2
1360,High engagers,0
1361,High engagers,0
1362,Passive,2
1363,High engagers,0
1364,Passive,2
1365,High engagers,0
1366,Moderate,1
1367,Moderate,1
1368,Passive,2
1369,High engagers,0
1370,High engagers,0
1371,Passive,2
1372,Moderate,1
1373,Moderate,1
1374,Passive,2
1375,Passive,2
1376,High engagers,0
1377,High engagers,0
1378,Passive,2
1379,High engagers,0
1380,Passive,2
1381,Moderate,1
1382,High engagers,0
1383,Passive,2
1384,High engagers,0
1386,Passive,2
1387,Moderate,1
1388,Passive,2
1389,Moderate,1
1390,High engagers,0
1391,Passive,2
1392,High engagers,0
1393,Moderate,1
1394,High engagers,0
1395,Passive,2
1396,High engagers,0
1397,High engagers,0
1398,High engagers,0
1399,Moderate,1
1400,High engagers,0
1401,High engagers,0
1402,Moderate,1
1404,Moderate,1
1405,Passive,2
1406,High engagers,0
1408,Moderate,1
1409,Moderate,1
1410,Passive,2
1411,Moderate,1
1413,Moderate,1
1414,High engagers,0
1415,High engagers,0
1416,High engagers,0
1417,Moderate,1
1418,Moderate,1
1419,High engagers,0
1421,Passive,2
1422,Moderate,1
1423,High engagers,0
1424,High engagers,0
1425,Moderate,1
1426,High engagers,0
1427,High engagers,0
1428,Moderate,1
1429,High engagers,0
1430,High engagers,0
1431,High engagers,0
1432,High engagers,0
1433,High engagers,0
1434,High engagers,0
1435,Moderate,1
1437,Moderate,1
1438,High engagers,0
1439,Moderate,1
1441,High engagers,0
1442,Moderate,1
1443,High engagers,0
1444,Passive,2
1445,High engagers,0
1446,Moderate,1
1447,Moderate,1
1448,Passive,2
1449,High engagers,0
1450,Moderate,1
1451,Moderate,1
1452,High engagers,0
1453,Passive,2
1454,Passive,2
1455,High engagers,0
1456,Moderate,1
1457,Passive,2
1458,Passive,2
1459,Moderate,1
1460,High engagers,0
1461,High engagers,0
1462,High engagers,0
1463,High engagers,0
1464,High engagers,0
1465,High engagers,0
1466,Passive,2
1467,High engagers,0
1468,High engagers,0
1469,High engagers,0
1470,Moderate,1
1471,High engagers,0
1472,High engagers,0
1473,High engagers,0
1474,High engagers,0
1475,High engagers,0
1476,Passive,2
1477,Passive,2
1478,Moderate,1
1479,High engagers,0
1480,High engagers,0
1481,Passive,2
1482,High engagers,0
1483,High engagers,0
1484,High engagers,0
1485,Passive,2
1486,High engagers,0
1488,Passive,2
1489,High engagers,0
1490,Moderate,1
1491,High engagers,0
1492,Moderate,1
1493,Moderate,1
1494,High engagers,0
1495,Moderate,1
1496,High engagers,0
1497,High engagers,0
1498,Moderate,1
1499,Moderate,1
1500,Moderate,1
1501,Passive,2
1503,High engagers,0
1504,Passive,2
1505,High engagers,0
1506,Passive,2
1507,Moderate,1
1508,Moderate,1
1509,Passive,2
1510,High engagers,0
1511,Moderate,1
1512,Moderate,1
1513,Passive,2
1514,High engagers,0
1515,High engagers,0
1516,Passive,2
1517,Moderate,1
1519,Moderate,1
1520,High engagers,0
1521,Moderate,1
1522,Passive,2
1523,Moderate,1
1524,High engagers,0
1525,Passive,2
1526,High engagers,0
1527,High engagers,0
1528,Passive,2
1529,High engagers,0
1530,Passive,2
1531,High engagers,0
1532,High engagers,0
1533,Passive,2
1534,Moderate,1
1535,Moderate,1
1536,Moderate,1
1537,Passive,2
1538,High engagers,0
1539,High engagers,0
1540,High engagers,0
1541,Passive,2
1542,Moderate,1
1543,Moderate,1
1544,High engagers,0
1545,Passive,2
1546,High engagers,0
1547,Moderate,1
1548,High engagers,0
1549,High engagers,0
1550,High engagers,0
1551,Passive,2
1552,Moderate,1
1553,High engagers,0
1554,High engagers,0
1555,Passive,2
1556,High engagers,0
1557,Moderate,1
1558,High engagers,0
1559,High engagers,0
1560,High engagers,0
1562,Moderate,1
1563,High engagers,0
1564,Moderate,1
1565,Moderate,1
1566,High engagers,0
1567,Passive,2
1568,High engagers,0
1569,High engagers,0
1570,High engagers,0
1571,High engagers,0
1572,High engagers,0
1573,Moderate,1
1574,High engagers,0
1575,High engagers,0
1576,High engagers,0
1577,High engagers,0
1578,Passive,2
1580,High engagers,0
1581,High engagers,0
1582,Passive,2
1583,High engagers,0
1584,Moderate,1
1585,High engagers,0
1586,Moderate,1
1587,High engagers,0
1588,High engagers,0
1589,High engagers,0
1590,Moderate,1
1591,High engagers,0
1592,Moderate,1
1593,Moderate,1
1594,High engagers,0
1595,High engagers,0
1596,Passive,2
1597,Moderate,1
