pid,day_offset,status,sms_seq
173,30,delivered,1
173,60,opted_out,2
173,90,opted_out,3
174,30,opted_out,1
174,60,opted_out,2
174,90,opted_out,3
175,30,delivered,1
175,60,opted_out,2
175,90,opted_out,3
178,30,delivered,1
178,60,delivered,2
178,90,delivered,3
179,30,opted_out,1
179,60,opted_out,2
179,90,opted_out,3
181,30,delivered,1
181,60,delivered,2
181,90,delivered,3
182,30,delivered,1
182,60,delivered,2
182,90,delivered,3
184,30,delivered,1
184,60,opted_out,2
184,90,opted_out,3
185,30,delivered,1
185,60,delivered,2
185,90,delivered,3
189,30,opted_out,1
189,60,opted_out,2
189,90,opted_out,3
190,30,delivered,1
190,60,delivered,2
190,90,delivered,3
194,30,delivered,1
194,60,delivered,2
194,90,delivered,3
196,30,delivered,1
196,60,opted_out,2
196,90,opted_out,3
199,30,delivered,1
199,60,delivered,2
199,90,delivered,3
200,30,delivered,1
200,60,delivered,2
200,90,delivered,3
203,30,opted_out,1
203,60,opted_out,2
203,90,opted_out,3
204,30,delivered,1
204,60,delivered,2
204,90,delivered,3
206,30,delivered,1
206,60,delivered,2
206,90,opted_out,3
207,30,delivered,1
207,60,delivered,2
207,90,delivered,3
208,30,delivered,1
208,60,delivered,2
208,90,delivered,3
209,30,delivered,1
209,60,delivered,2
209,90,delivered,3
210,30,delivered,1
210,60,delivered,2
210,90,delivered,3
213,30,delivered,1
213,60,delivered,2
213,90,delivered,3
214,30,opted_out,1
214,60,opted_out,2
214,90,opted_out,3
216,30,opted_out,1
216,60,opted_out,2
216,90,opted_out,3
218,30,delivered,1
218,60,delivered,2
218,90,delivered,3
220,30,delivered,1
220,60,delivered,2
220,90,delivered,3
223,30,opted_out,1
223,60,opted_out,2
223,90,opted_out,3
225,30,delivered,1
225,60,delivered,2
225,90,delivered,3
226,30,delivered,1
226,60,delivered,2
226,90,delivered,3
229,30,delivered,1
229,60,delivered,2
229,90,delivered,3
230,30,delivered,1
230,60,delivered,2
230,90,delivered,3
231,30,delivered,1
231,60,delivered,2
231,90,delivered,3
232,30,opted_out,1
232,60,opted_out,2
232,90,opted_out,3
233,30,opted_out,1
233,60,opted_out,2
233,90,opted_out,3
234,30,opted_out,1
234,60,opted_out,2
234,90,opted_out,3
235,30,delivered,1
235,60,opted_out,2
235,90,opted_out,3
239,30,delivered,1
239,60,delivered,2
239,90,delivered,3
240,30,delivered,1
240,60,delivered,2
240,90,delivered,3
241,30,delivered,1
241,60,delivered,2
241,90,delivered,3
242,30,delivered,1
242,60,opted_out,2
242,90,opted_out,3
243,30,opted_out,1
243,60,opted_out,2
243,90,opted_out,3
244,30,opted_out,1
244,60,opted_out,2
244,90,opted_out,3
247,30,delivered,1
247,60,delivered,2
247,90,delivered,3
248,30,delivered,1
248,60,delivered,2
248,90,delivered,3
251,30,delivered,1
251,60,delivered,2
251,90,delivered,3
253,30,delivered,1
253,60,delivered,2
253,90,delivered,3
256,30,delivered,1
256,60,delivered,2
256,90,delivered,3
257,30,delivered,1
257,60,delivered,2
257,90,delivered,3
261,30,delivered,1
261,60,delivered,2
261,90,delivered,3
265,30,delivered,1
265,60,delivered,2
265,90,delivered,3
266,30,delivered,1
266,60,delivered,2
266,90,delivered,3
268,30,opted_out,1
268,60,opted_out,2
268,90,opted_out,3
269,30,delivered,1
269,60,delivered,2
269,90,delivered,3
270,30,delivered,1
270,60,delivered,2
270,90,delivered,3
276,30,opted_out,1
276,60,opted_out,2
276,90,opted_out,3
277,30,delivered,1
277,60,delivered,2
277,90,delivered,3
281,30,delivered,1
281,60,delivered,2
281,90,opted_out,3
283,30,opted_out,1
283,60,opted_out,2
283,90,opted_out,3
284,30,delivered,1
284,60,opted_out,2
284,90,opted_out,3
285,30,delivered,1
285,60,delivered,2
285,90,delivered,3
286,30,delivered,1
286,60,delivered,2
286,90,delivered,3
287,30,delivered,1
287,60,delivered,2
287,90,delivered,3
289,30,delivered,1
289,60,delivered,2
289,90,delivered,3
291,30,delivered,1
291,60,delivered,2
291,90,delivered,3
292,30,delivered,1
292,60,delivered,2
292,90,delivered,3
293,30,opted_out,1
293,60,opted_out,2
293,90,opted_out,3
294,30,delivered,1
294,60,delivered,2
294,90,delivered,3
295,30,delivered,1
295,60,delivered,2
295,90,delivered,3
296,30,delivered,1
296,60,delivered,2
296,90,delivered,3
297,30,delivered,1
297,60,delivered,2
297,90,delivered,3
298,30,opted_out,1
298,60,opted_out,2
298,90,opted_out,3
300,30,delivered,1
300,60,opted_out,2
300,90,opted_out,3
301,30,delivered,1
301,60,delivered,2
301,90,delivered,3
302,30,opted_out,1
302,60,opted_out,2
302,90,opted_out,3
303,30,delivered,1
303,60,delivered,2
303,90,delivered,3
305,30,delivered,1
305,60,delivered,2
305,90,delivered,3
308,30,delivered,1
308,60,delivered,2
308,90,delivered,3
313,30,delivered,1
313,60,delivered,2
313,90,delivered,3
314,30,delivered,1
314,60,opted_out,2
314,90,opted_out,3
315,30,delivered,1
315,60,delivered,2
315,90,delivered,3
317,30,delivered,1
317,60,delivered,2
317,90,delivered,3
318,30,delivered,1
318,60,opted_out,2
318,90,opted_out,3
320,30,delivered,1
320,60,opted_out,2
320,90,opted_out,3
321,30,delivered,1
321,60,delivered,2
321,90,delivered,3
322,30,delivered,1
322,60,opted_out,2
322,90,opted_out,3
324,30,delivered,1
324,60,delivered,2
324,90,delivered,3
325,30,delivered,1
325,60,delivered,2
325,90,delivered,3
327,30,opted_out,1
327,60,opted_out,2
327,90,opted_out,3
328,30,delivered,1
328,60,delivered,2
328,90,opted_out,3
330,30,delivered,1
330,60,delivered,2
330,90,delivered,3
331,30,delivered,1
331,60,delivered,2
331,90,delivered,3
334,30,delivered,1
334,60,delivered,2
334,90,delivered,3
340,30,delivered,1
340,60,delivered,2
340,90,delivered,3
341,30,delivered,1
341,60,delivered,2
341,90,delivered,3
342,30,opted_out,1
342,60,opted_out,2
342,90,opted_out,3
343,30,delivered,1
343,60,delivered,2
343,90,delivered,3
345,30,delivered,1
345,60,delivered,2
345,90,delivered,3
346,30,delivered,1
346,60,delivered,2
346,90,delivered,3
347,30,delivered,1
347,60,delivered,2
347,90,delivered,3
350,30,delivered,1
350,60,opted_out,2
350,90,opted_out,3
352,30,delivered,1
352,60,opted_out,2
352,90,opted_out,3
355,30,delivered,1
355,60,delivered,2
355,90,opted_out,3
357,30,delivered,1
357,60,delivered,2
357,90,delivered,3
358,30,delivered,1
358,60,opted_out,2
358,90,opted_out,3
359,30,delivered,1
359,60,delivered,2
359,90,delivered,3
360,30,delivered,1
360,60,delivered,2
360,90,delivered,3
365,30,delivered,1
365,60,opted_out,2
365,90,opted_out,3
366,30,delivered,1
366,60,delivered,2
366,90,delivered,3
368,30,delivered,1
368,60,delivered,2
368,90,delivered,3
370,30,delivered,1
370,60,delivered,2
370,90,delivered,3
371,30,delivered,1
371,60,delivered,2
371,90,delivered,3
372,30,delivered,1
372,60,delivered,2
372,90,delivered,3
373,30,delivered,1
373,60,opted_out,2
373,90,opted_out,3
374,30,delivered,1
374,60,delivered,2
374,90,delivered,3
375,30,delivered,1
375,60,opted_out,2
375,90,opted_out,3
376,30,opted_out,1
376,60,opted_out,2
376,90,opted_out,3
378,30,delivered,1
378,60,delivered,2
378,90,delivered,3
379,30,delivered,1
379,60,delivered,2
379,90,delivered,3
380,30,delivered,1
380,60,delivered,2
380,90,delivered,3
381,30,delivered,1
381,60,delivered,2
381,90,opted_out,3
382,30,delivered,1
382,60,delivered,2
382,90,opted_out,3
383,30,delivered,1
383,60,delivered,2
383,90,delivered,3
384,30,delivered,1
384,60,delivered,2
384,90,delivered,3
386,30,delivered,1
386,60,delivered,2
386,90,delivered,3
387,30,delivered,1
387,60,delivered,2
387,90,delivered,3
389,30,delivered,1
389,60,delivered,2
389,90,delivered,3
390,30,delivered,1
390,60,delivered,2
390,90,delivered,3
391,30,delivered,1
391,60,delivered,2
391,90,delivered,3
394,30,delivered,1
394,60,delivered,2
394,90,delivered,3
396,30,opted_out,1
396,60,opted_out,2
396,90,opted_out,3
398,30,delivered,1
398,60,delivered,2
398,90,delivered,3
400,30,delivered,1
400,60,delivered,2
400,90,delivered,3
401,30,delivered,1
401,60,delivered,2
401,90,delivered,3
402,30,delivered,1
402,60,delivered,2
402,90,delivered,3
404,30,delivered,1
404,60,delivered,2
404,90,delivered,3
405,30,delivered,1
405,60,delivered,2
405,90,delivered,3
409,30,delivered,1
409,60,delivered,2
409,90,delivered,3
410,30,delivered,1
410,60,delivered,2
410,90,delivered,3
412,30,opted_out,1
412,60,opted_out,2
412,90,opted_out,3
417,30,delivered,1
417,60,delivered,2
417,90,delivered,3
421,30,delivered,1
421,60,delivered,2
421,90,delivered,3
422,30,opted_out,1
422,60,opted_out,2
422,90,opted_out,3
425,30,delivered,1
425,60,delivered,2
425,90,delivered,3
426,30,delivered,1
426,60,delivered,2
426,90,opted_out,3
427,30,opted_out,1
427,60,opted_out,2
427,90,opted_out,3
428,30,opted_out,1
428,60,opted_out,2
428,90,opted_out,3
429,30,delivered,1
429,60,delivered,2
429,90,delivered,3
432,30,opted_out,1
432,60,opted_out,2
432,90,opted_out,3
434,30,delivered,1
434,60,delivered,2
434,90,delivered,3
437,30,opted_out,1
437,60,opted_out,2
437,90,opted_out,3
439,30,delivered,1
439,60,delivered,2
439,90,delivered,3
443,30,opted_out,1
443,60,opted_out,2
443,90,opted_out,3
444,30,opted_out,1
444,60,opted_out,2
444,90,opted_out,3
445,30,delivered,1
445,60,delivered,2
445,90,delivered,3
446,30,delivered,1
446,60,delivered,2
446,90,delivered,3
447,30,delivered,1
447,60,delivered,2
447,90,delivered,3
448,30,delivered,1
448,60,delivered,2
448,90,delivered,3
450,30,opted_out,1
450,60,opted_out,2
450,90,opted_out,3
451,30,delivered,1
451,60,delivered,2
451,90,delivered,3
453,30,opted_out,1
453,60,opted_out,2
453,90,opted_out,3
456,30,opted_out,1
456,60,opted_out,2
456,90,opted_out,3
457,30,opted_out,1
457,60,opted_out,2
457,90,opted_out,3
459,30,opted_out,1
459,60,opted_out,2
459,90,opted_out,3
460,30,delivered,1
460,60,delivered,2
460,90,delivered,3
463,30,delivered,1
463,60,delivered,2
463,90,delivered,3
464,30,delivered,1
464,60,delivered,2
464,90,opted_out,3
466,30,delivered,1
466,60,delivered,2
466,90,opted_out,3
468,30,delivered,1
468,60,delivered,2
468,90,delivered,3
469,30,delivered,1
469,60,delivered,2
469,90,delivered,3
470,30,delivered,1
470,60,delivered,2
470,90,delivered,3
472,30,opted_out,1
472,60,opted_out,2
472,90,opted_out,3
477,30,delivered,1
477,60,delivered,2
477,90,delivered,3
478,30,delivered,1
478,60,delivered,2
478,90,opted_out,3
479,30,delivered,1
479,60,delivered,2
479,90,delivered,3
480,30,delivered,1
480,60,delivered,2
480,90,delivered,3
481,30,delivered,1
481,60,delivered,2
481,90,delivered,3
484,30,opted_out,1
484,60,opted_out,2
484,90,opted_out,3
485,30,delivered,1
485,60,delivered,2
485,90,delivered,3
489,30,delivered,1
489,60,delivered,2
489,90,delivered,3
490,30,delivered,1
490,60,opted_out,2
490,90,opted_out,3
492,30,delivered,1
492,60,delivered,2
492,90,delivered,3
494,30,delivered,1
494,60,delivered,2
494,90,delivered,3
495,30,delivered,1
495,60,delivered,2
495,90,delivered,3
498,30,opted_out,1
498,60,opted_out,2
498,90,opted_out,3
509,30,opted_out,1
509,60,opted_out,2
509,90,opted_out,3
510,30,delivered,1
510,60,delivered,2
510,90,delivered,3
513,30,delivered,1
513,60,delivered,2
513,90,delivered,3
515,30,delivered,1
515,60,delivered,2
515,90,delivered,3
516,30,opted_out,1
516,60,opted_out,2
516,90,opted_out,3
524,30,opted_out,1
524,60,opted_out,2
524,90,opted_out,3
525,30,delivered,1
525,60,delivered,2
525,90,delivered,3
526,30,delivered,1
526,60,delivered,2
526,90,delivered,3
527,30,delivered,1
527,60,delivered,2
527,90,delivered,3
528,30,delivered,1
528,60,delivered,2
528,90,delivered,3
529,30,delivered,1
529,60,opted_out,2
529,90,opted_out,3
530,30,delivered,1
530,60,delivered,2
530,90,delivered,3
532,30,opted_out,1
532,60,opted_out,2
532,90,opted_out,3
533,30,delivered,1
533,60,delivered,2
533,90,delivered,3
534,30,delivered,1
534,60,delivered,2
534,90,delivered,3
535,30,delivered,1
535,60,delivered,2
535,90,delivered,3
542,30,delivered,1
542,60,delivered,2
542,90,delivered,3
543,30,opted_out,1
543,60,opted_out,2
543,90,opted_out,3
547,30,delivered,1
547,60,delivered,2
547,90,delivered,3
549,30,delivered,1
549,60,delivered,2
549,90,delivered,3
551,30,delivered,1
551,60,delivered,2
551,90,delivered,3
552,30,delivered,1
552,60,opted_out,2
552,90,opted_out,3
553,30,delivered,1
553,60,delivered,2
553,90,delivered,3
554,30,delivered,1
554,60,delivered,2
554,90,opted_out,3
555,30,opted_out,1
555,60,opted_out,2
555,90,opted_out,3
557,30,delivered,1
557,60,delivered,2
557,90,delivered,3
558,30,opted_out,1
558,60,opted_out,2
558,90,opted_out,3
559,30,delivered,1
559,60,opted_out,2
559,90,opted_out,3
561,30,delivered,1
561,60,opted_out,2
561,90,opted_out,3
562,30,delivered,1
562,60,delivered,2
562,90,delivered,3
564,30,delivered,1
564,60,delivered,2
564,90,delivered,3
566,30,delivered,1
566,60,delivered,2
566,90,opted_out,3
569,30,delivered,1
569,60,opted_out,2
569,90,opted_out,3
571,30,delivered,1
571,60,delivered,2
571,90,opted_out,3
572,30,delivered,1
572,60,delivered,2
572,90,delivered,3
575,30,delivered,1
575,60,delivered,2
575,90,delivered,3
577,30,opted_out,1
577,60,opted_out,2
577,90,opted_out,3
578,30,delivered,1
578,60,delivered,2
578,90,delivered,3
579,30,delivered,1
579,60,delivered,2
579,90,delivered,3
582,30,delivered,1
582,60,delivered,2
582,90,delivered,3
585,30,delivered,1
585,60,delivered,2
585,90,delivered,3
586,30,delivered,1
586,60,delivered,2
586,90,delivered,3
588,30,opted_out,1
588,60,opted_out,2
588,90,opted_out,3
589,30,opted_out,1
589,60,opted_out,2
589,90,opted_out,3
590,30,delivered,1
590,60,delivered,2
590,90,delivered,3
591,30,opted_out,1
591,60,opted_out,2
591,90,opted_out,3
592,30,delivered,1
592,60,delivered,2
592,90,opted_out,3
597,30,delivered,1
597,60,delivered,2
597,90,delivered,3
598,30,opted_out,1
598,60,opted_out,2
598,90,opted_out,3
599,30,delivered,1
599,60,delivered,2
599,90,delivered,3
601,30,delivered,1
601,60,delivered,2
601,90,delivered,3
602,30,opted_out,1
602,60,opted_out,2
602,90,opted_out,3
604,30,delivered,1
604,60,opted_out,2
604,90,opted_out,3
606,30,delivered,1
606,60,delivered,2
606,90,delivered,3
607,30,delivered,1
607,60,delivered,2
607,90,opted_out,3
609,30,delivered,1
609,60,delivered,2
609,90,delivered,3
610,30,delivered,1
610,60,delivered,2
610,90,delivered,3
613,30,delivered,1
613,60,delivered,2
613,90,delivered,3
614,30,delivered,1
614,60,opted_out,2
614,90,opted_out,3
615,30,delivered,1
615,60,delivered,2
615,90,delivered,3
616,30,delivered,1
616,60,delivered,2
616,90,delivered,3
617,30,delivered,1
617,60,delivered,2
617,90,delivered,3
618,30,delivered,1
618,60,delivered,2
618,90,delivered,3
621,30,delivered,1
621,60,delivered,2
621,90,delivered,3
622,30,delivered,1
622,60,delivered,2
622,90,delivered,3
623,30,opted_out,1
623,60,opted_out,2
623,90,opted_out,3
624,30,delivered,1
624,60,opted_out,2
624,90,opted_out,3
626,30,opted_out,1
626,60,opted_out,2
626,90,opted_out,3
633,30,delivered,1
633,60,delivered,2
633,90,delivered,3
635,30,delivered,1
635,60,delivered,2
635,90,delivered,3
636,30,delivered,1
636,60,delivered,2
636,90,delivered,3
639,30,delivered,1
639,60,delivered,2
639,90,delivered,3
641,30,delivered,1
641,60,delivered,2
641,90,delivered,3
644,30,delivered,1
644,60,delivered,2
644,90,delivered,3
645,30,delivered,1
645,60,delivered,2
645,90,delivered,3
647,30,delivered,1
647,60,delivered,2
647,90,delivered,3
649,30,delivered,1
649,60,delivered,2
649,90,delivered,3
650,30,delivered,1
650,60,delivered,2
650,90,delivered,3
652,30,delivered,1
652,60,delivered,2
652,90,delivered,3
653,30,delivered,1
653,60,delivered,2
653,90,delivered,3
655,30,delivered,1
655,60,delivered,2
655,90,delivered,3
656,30,delivered,1
656,60,delivered,2
656,90,delivered,3
658,30,delivered,1
658,60,delivered,2
658,90,delivered,3
662,30,delivered,1
662,60,delivered,2
662,90,opted_out,3
664,30,delivered,1
664,60,delivered,2
664,90,delivered,3
668,30,delivered,1
668,60,delivered,2
668,90,delivered,3
669,30,delivered,1
669,60,delivered,2
669,90,delivered,3
670,30,opted_out,1
670,60,opted_out,2
670,90,opted_out,3
672,30,delivered,1
672,60,delivered,2
672,90,delivered,3
673,30,delivered,1
673,60,delivered,2
673,90,delivered,3
674,30,delivered,1
674,60,delivered,2
674,90,delivered,3
675,30,delivered,1
675,60,delivered,2
675,90,delivered,3
676,30,opted_out,1
676,60,opted_out,2
676,90,opted_out,3
677,30,delivered,1
677,60,delivered,2
677,90,delivered,3
678,30,delivered,1
678,60,delivered,2
678,90,delivered,3
679,30,delivered,1
679,60,delivered,2
679,90,delivered,3
680,30,delivered,1
680,60,delivered,2
680,90,opted_out,3
683,30,delivered,1
683,60,opted_out,2
683,90,opted_out,3
685,30,delivered,1
685,60,delivered,2
685,90,delivered,3
687,30,delivered,1
687,60,delivered,2
687,90,delivered,3
691,30,delivered,1
691,60,delivered,2
691,90,delivered,3
693,30,delivered,1
693,60,delivered,2
693,90,delivered,3
694,30,delivered,1
694,60,delivered,2
694,90,delivered,3
700,30,delivered,1
700,60,delivered,2
700,90,delivered,3
701,30,delivered,1
701,60,delivered,2
701,90,delivered,3
702,30,delivered,1
702,60,delivered,2
702,90,delivered,3
707,30,delivered,1
707,60,delivered,2
707,90,delivered,3
708,30,delivered,1
708,60,delivered,2
708,90,delivered,3
710,30,delivered,1
710,60,delivered,2
710,90,delivered,3
711,30,opted_out,1
711,60,opted_out,2
711,90,opted_out,3
713,30,delivered,1
713,60,delivered,2
713,90,delivered,3
714,30,delivered,1
714,60,delivered,2
714,90,delivered,3
716,30,delivered,1
716,60,delivered,2
716,90,delivered,3
719,30,delivered,1
719,60,delivered,2
719,90,opted_out,3
721,30,delivered,1
721,60,delivered,2
721,90,delivered,3
722,30,delivered,1
722,60,delivered,2
722,90,delivered,3
725,30,delivered,1
725,60,delivered,2
725,90,delivered,3
726,30,delivered,1
726,60,delivered,2
726,90,delivered,3
727,30,opted_out,1
727,60,opted_out,2
727,90,opted_out,3
728,30,delivered,1
728,60,delivered,2
728,90,delivered,3
729,30,delivered,1
729,60,delivered,2
729,90,opted_out,3
732,30,delivered,1
732,60,delivered,2
732,90,delivered,3
733,30,delivered,1
733,60,delivered,2
733,90,delivered,3
734,30,delivered,1
734,60,delivered,2
734,90,delivered,3
735,30,opted_out,1
735,60,opted_out,2
735,90,opted_out,3
738,30,delivered,1
738,60,delivered,2
738,90,delivered,3
741,30,delivered,1
741,60,delivered,2
741,90,delivered,3
743,30,delivered,1
743,60,delivered,2
743,90,delivered,3
746,30,opted_out,1
746,60,opted_out,2
746,90,opted_out,3
747,30,delivered,1
747,60,delivered,2
747,90,delivered,3
751,30,delivered,1
751,60,delivered,2
751,90,delivered,3
753,30,delivered,1
753,60,opted_out,2
753,90,opted_out,3
754,30,delivered,1
754,60,delivered,2
754,90,delivered,3
755,30,opted_out,1
755,60,opted_out,2
755,90,opted_out,3
758,30,delivered,1
758,60,delivered,2
758,90,delivered,3
761,30,delivered,1
761,60,delivered,2
761,90,delivered,3
762,30,opted_out,1
762,60,opted_out,2
762,90,opted_out,3
763,30,delivered,1
763,60,delivered,2
763,90,delivered,3
764,30,delivered,1
764,60,delivered,2
764,90,delivered,3
765,30,opted_out,1
765,60,opted_out,2
765,90,opted_out,3
767,30,delivered,1
767,60,delivered,2
767,90,delivered,3
770,30,delivered,1
770,60,delivered,2
770,90,delivered,3
771,30,opted_out,1
771,60,opted_out,2
771,90,opted_out,3
772,30,delivered,1
772,60,delivered,2
772,90,delivered,3
774,30,delivered,1
774,60,delivered,2
774,90,delivered,3
778,30,delivered,1
778,60,delivered,2
778,90,delivered,3
782,30,opted_out,1
782,60,opted_out,2
782,90,opted_out,3
787,30,delivered,1
787,60,delivered,2
787,90,delivered,3
788,30,delivered,1
788,60,opted_out,2
788,90,opted_out,3
791,30,delivered,1
791,60,delivered,2
791,90,delivered,3
792,30,delivered,1
792,60,delivered,2
792,90,delivered,3
793,30,delivered,1
793,60,delivered,2
793,90,delivered,3
794,30,opted_out,1
794,60,opted_out,2
794,90,opted_out,3
796,30,delivered,1
796,60,delivered,2
796,90,delivered,3
798,30,opted_out,1
798,60,opted_out,2
798,90,opted_out,3
800,30,delivered,1
800,60,delivered,2
800,90,delivered,3
802,30,delivered,1
802,60,opted_out,2
802,90,opted_out,3
803,30,opted_out,1
803,60,opted_out,2
803,90,opted_out,3
805,30,delivered,1
805,60,delivered,2
805,90,delivered,3
806,30,delivered,1
806,60,delivered,2
806,90,delivered,3
809,30,delivered,1
809,60,delivered,2
809,90,delivered,3
811,30,delivered,1
811,60,opted_out,2
811,90,opted_out,3
812,30,opted_out,1
812,60,opted_out,2
812,90,opted_out,3
813,30,delivered,1
813,60,delivered,2
813,90,delivered,3
814,30,delivered,1
814,60,delivered,2
814,90,delivered,3
815,30,delivered,1
815,60,delivered,2
815,90,opted_out,3
817,30,delivered,1
817,60,delivered,2
817,90,delivered,3
818,30,delivered,1
818,60,delivered,2
818,90,delivered,3
819,30,delivered,1
819,60,delivered,2
819,90,delivered,3
820,30,delivered,1
820,60,delivered,2
820,90,delivered,3
822,30,delivered,1
