pid,prf_class,prf_device,prf_first_login,prf_pn_status,prf_stop_comms
62,high_engager,android,0,enabled,False
63,moderate,ios,2,enabled,False
64,passive,android,11,disabled,False
65,high_engager,ios,4,disabled,False
66,moderate,ios,2,enabled,False
67,passive,ios,0,enabled,False
68,high_engager,ios,10,enabled,False
69,high_engager,ios,8,disabled,False
70,high_engager,ios,11,enabled,False
71,passive,android,11,enabled,False
72,passive,android,13,disabled,False
73,moderate,ios,3,disabled,False
74,passive,android,2,disabled,False
75,high_engager,android,3,disabled,False
76,high_engager,ios,11,enabled,False
77,moderate,ios,10,disabled,False
78,passive,ios,3,enabled,False
79,high_engager,ios,9,disabled,False
80,moderate,android,2,disabled,False
81,high_engager,ios,5,enabled,False
82,passive,android,8,disabled,False
83,moderate,android,13,enabled,False
84,moderate,ios,2,enabled,False
85,high_engager,ios,2,enabled,False
86,moderate,ios,9,disabled,False
87,high_engager,android,5,enabled,True
88,passive,android,10,enabled,False
89,moderate,android,2,enabled,True
90,moderate,ios,12,enabled,False
91,moderate,ios,5,enabled,False
92,high_engager,android,1,disabled,False
93,moderate,android,13,enabled,False
94,high_engager,android,1,enabled,False
95,moderate,android,5,enabled,False
96,high_engager,ios,7,enabled,False
97,moderate,ios,8,disabled,False
98,passive,android,9,enabled,False
99,moderate,ios,13,enabled,False
100,high_engager,android,10,enabled,False
101,moderate,android,1,disabled,False
102,passive,ios,1,enabled,False
103,passive,ios,11,unknown,False
104,moderate,android,9,disabled,False
105,moderate,android,6,enabled,False
106,moderate,ios,7,disabled,False
107,passive,android,13,enabled,False
108,high_engager,ios,3,disabled,False
109,moderate,ios,12,enabled,False
110,moderate,ios,3,enabled,False
111,high_engager,android,6,enabled,False
112,moderate,ios,13,enabled,True
113,moderate,ios,3,enabled,False
114,moderate,ios,11,enabled,False
115,high_engager,ios,1,disabled,False
116,moderate,ios,3,enabled,False
117,passive,android,2,enabled,False
118,passive,android,1,disabled,False
119,moderate,ios,1,enabled,False
120,passive,android,10,enabled,False
121,passive,ios,9,enabled,False
122,passive,ios,4,enabled,False
123,passive,android,10,disabled,False
124,moderate,android,0,disabled,False
125,passive,ios,3,enabled,False
126,moderate,android,8,disabled,False
127,high_engager,ios,11,enabled,False
128,moderate,ios,7,enabled,False
129,passive,ios,4,enabled,False
130,moderate,ios,2,enabled,True
131,moderate,ios,7,disabled,False
132,moderate,android,12,enabled,False
133,passive,android,13,enabled,False
134,high_engager,ios,10,disabled,False
135,high_engager,android,0,disabled,False
136,passive,ios,2,disabled,False
137,moderate,android,5,disabled,False
138,passive,ios,13,disabled,False
139,high_engager,ios,10,enabled,False
140,passive,android,4,enabled,True
141,high_engager,ios,7,disabled,False
142,high_engager,android,3,enabled,False
143,high_engager,ios,9,enabled,False
144,high_engager,android,1,enabled,False
145,passive,android,0,enabled,False
146,passive,android,9,unknown,False
147,passive,android,7,enabled,False
148,high_engager,android,8,enabled,False
149,passive,ios,4,enabled,True
150,high_engager,android,6,enabled,False
151,high_engager,ios,8,enabled,False
152,passive,ios,6,disabled,False
153,high_engager,ios,11,disabled,False
154,passive,ios,7,enabled,False
155,passive,ios,3,disabled,False
156,high_engager,android,1,enabled,False
157,passive,ios,0,enabled,False
158,moderate,android,6,enabled,False
159,moderate,android,12,unknown,False
160,passive,android,12,enabled,False
161,passive,android,11,disabled,False
162,passive,ios,11,enabled,False
163,passive,ios,4,enabled,False
164,moderate,ios,9,enabled,False
165,passive,ios,7,enabled,False
166,moderate,android,12,disabled,False
167,high_engager,ios,0,enabled,False
168,moderate,android,13,disabled,False
169,high_engager,ios,5,enabled,False
170,moderate,android,9,enabled,False
171,high_engager,android,5,enabled,False
172,high_engager,ios,1,disabled,False
173,passive,android,12,enabled,False
174,passive,android,0,enabled,False
175,moderate,ios,1,enabled,False
176,passive,ios,11,enabled,False
177,moderate,ios,12,enabled,False
178,moderate,android,8,enabled,True
179,moderate,ios,2,enabled,False
180,high_engager,ios,8,disabled,False
181,moderate,ios,7,disabled,True
182,moderate,ios,7,disabled,False
183,moderate,android,1,enabled,False
184,moderate,ios,0,enabled,False
185,moderate,ios,7,enabled,True
186,passive,ios,1,enabled,False
187,passive,ios,13,enabled,False
188,passive,ios,3,disabled,False
189,moderate,ios,11,enabled,True
190,moderate,ios,8,disabled,False
191,passive,ios,6,enabled,False
192,high_engager,ios,7,disabled,False
193,high_engager,ios,1,enabled,False
194,moderate,ios,0,enabled,False
195,moderate,android,5,disabled,False
196,high_engager,android,5,enabled,False
197,high_engager,ios,4,disabled,False
198,moderate,ios,2,enabled,False
199,moderate,ios,2,enabled,False
200,passive,android,4,disabled,False
201,passive,android,11,enabled,False
202,high_engager,ios,6,enabled,False
203,passive,android,5,disabled,False
204,high_engager,ios,6,enabled,False
205,moderate,android,3,unknown,False
206,moderate,android,11,enabled,False
207,moderate,ios,10,enabled,False
208,moderate,ios,1,enabled,False
209,passive,android,3,disabled,True
210,moderate,ios,3,disabled,False
211,passive,ios,13,unknown,False
212,passive,ios,6,disabled,False
213,moderate,ios,4,enabled,False
214,passive,ios,10,disabled,False
215,moderate,ios,4,disabled,False
216,moderate,ios,12,enabled,False
217,high_engager,ios,3,enabled,False
218,passive,android,6,enabled,False
219,moderate,ios,0,enabled,False
220,passive,ios,12,enabled,False
221,moderate,android,9,disabled,False
222,passive,android,8,enabled,False
223,moderate,android,8,enabled,False
224,moderate,ios,11,disabled,False
225,passive,ios,7,disabled,False
226,passive,ios,5,enabled,False
227,moderate,android,10,enabled,False
228,high_engager,android,4,enabled,False
229,moderate,android,11,disabled,False
230,passive,ios,10,enabled,False
231,moderate,android,2,enabled,False
232,passive,android,7,enabled,False
233,moderate,android,4,enabled,False
234,high_engager,android,7,enabled,False
235,passive,android,0,enabled,False
236,moderate,ios,10,enabled,False
237,moderate,ios,13,enabled,False
238,passive,ios,9,enabled,False
239,high_engager,ios,7,enabled,False
240,moderate,android,3,enabled,False
241,high_engager,ios,11,enabled,False
242,high_engager,android,1,enabled,False
243,moderate,android,7,enabled,False
244,high_engager,android,0,disabled,False
245,moderate,android,11,unknown,False
246,passive,ios,10,enabled,False
247,high_engager,ios,8,enabled,False
248,moderate,ios,7,enabled,False
249,moderate,ios,0,disabled,False
250,moderate,android,5,disabled,False
251,moderate,ios,5,disabled,False
252,moderate,ios,1,disabled,False
253,high_engager,android,5,disabled,False
254,passive,android,2,enabled,True
255,high_engager,android,7,enabled,False
256,passive,android,8,enabled,False
257,passive,ios,6,enabled,False
258,high_engager,android,2,enabled,True
259,high_engager,android,2,disabled,False
260,passive,ios,7,disabled,False
261,high_engager,ios,2,enabled,False
262,moderate,ios,6,enabled,False
263,high_engager,android,10,enabled,False
264,moderate,ios,9,disabled,False
265,high_engager,android,4,enabled,False
266,passive,ios,11,disabled,False
267,moderate,ios,10,enabled,False
268,passive,android,12,enabled,False
269,moderate,ios,6,disabled,True
270,moderate,android,13,enabled,False
271,passive,android,9,enabled,False
272,passive,ios,6,disabled,True
273,passive,ios,4,disabled,False
274,moderate,android,9,enabled,False
275,moderate,ios,9,enabled,False
276,passive,ios,9,enabled,False
277,moderate,ios,5,disabled,False
278,high_engager,ios,7,disabled,False
279,moderate,ios,9,enabled,False
280,moderate,ios,8,enabled,False
281,high_engager,android,10,enabled,False
282,high_engager,android,10,enabled,False
283,high_engager,android,13,enabled,False
284,high_engager,ios,11,enabled,False
285,passive,android,2,enabled,False
286,moderate,android,3,enabled,False
287,moderate,android,0,enabled,False
288,passive,ios,1,enabled,False
289,moderate,ios,0,enabled,False
290,high_engager,ios,3,disabled,False
291,moderate,ios,2,enabled,True
292,passive,ios,11,disabled,False
293,high_engager,ios,8,enabled,False
294,passive,ios,7,disabled,False
295,moderate,android,2,enabled,False
296,moderate,ios,9,disabled,False
297,high_engager,ios,13,enabled,False
298,moderate,android,10,enabled,False
299,moderate,android,0,disabled,False
300,passive,android,2,disabled,False
301,passive,ios,0,disabled,False
302,passive,android,9,enabled,False
303,passive,ios,13,enabled,False
304,passive,android,2,enabled,False
305,high_engager,android,13,disabled,False
306,passive,android,7,enabled,False
307,passive,android,7,enabled,False
308,moderate,ios,1,disabled,True
309,passive,android,0,enabled,False
310,passive,android,3,enabled,False
311,high_engager,ios,7,enabled,False
312,high_engager,ios,8,enabled,False
313,passive,ios,1,enabled,False
314,moderate,android,13,enabled,False
315,high_engager,ios,2,enabled,False
316,passive,android,5,enabled,False
317,moderate,android,5,enabled,False
318,passive,android,8,enabled,False
319,moderate,ios,12,enabled,False
320,passive,ios,11,disabled,False
321,passive,ios,12,enabled,False
322,moderate,ios,4,unknown,False
323,moderate,ios,7,disabled,False
324,high_engager,ios,12,disabled,False
325,high_engager,ios,9,enabled,False
326,passive,ios,9,enabled,False
327,passive,ios,6,enabled,False
328,high_engager,android,3,disabled,False
329,moderate,android,1,enabled,False
330,moderate,android,6,enabled,False
331,passive,ios,10,disabled,False
332,passive,ios,11,enabled,False
333,moderate,android,12,disabled,False
334,passive,android,6,disabled,True
335,moderate,ios,12,enabled,False
336,moderate,ios,9,enabled,False
337,passive,android,11,disabled,False
338,high_engager,ios,3,disabled,False
339,high_engager,ios,2,disabled,False
340,moderate,ios,3,enabled,False
341,passive,ios,2,enabled,False
342,moderate,ios,11,enabled,False
343,high_engager,ios,9,enabled,False
344,moderate,ios,6,disabled,False
345,moderate,ios,2,enabled,False
346,passive,ios,9,disabled,False
347,passive,ios,6,enabled,False
348,moderate,ios,13,unknown,False
349,moderate,ios,4,enabled,False
350,moderate,ios,13,enabled,False
351,high_engager,ios,7,disabled,False
352,passive,android,6,enabled,False
353,moderate,ios,10,enabled,False
354,high_engager,ios,7,enabled,False
355,moderate,android,0,enabled,False
356,passive,ios,4,enabled,False
357,high_engager,ios,1,enabled,False
358,passive,ios,8,enabled,False
359,moderate,ios,8,disabled,False
360,high_engager,ios,11,disabled,False
361,passive,ios,11,disabled,False
362,high_engager,ios,2,disabled,False
363,high_engager,android,6,enabled,False
364,moderate,ios,0,enabled,False
365,high_engager,ios,7,disabled,False
366,high_engager,android,5,enabled,False
367,passive,android,7,unknown,True
368,high_engager,android,7,enabled,False
369,passive,android,13,enabled,False
370,passive,ios,0,enabled,False
371,passive,ios,9,enabled,False
372,passive,ios,5,disabled,False
373,moderate,ios,11,disabled,False
374,passive,ios,2,enabled,False
375,moderate,android,13,enabled,True
376,passive,ios,13,disabled,False
377,high_engager,ios,12,enabled,False
378,high_engager,android,8,enabled,False
379,passive,ios,9,enabled,False
380,high_engager,ios,8,disabled,False
381,passive,android,8,enabled,False
382,high_engager,ios,0,enabled,False
383,passive,android,3,enabled,False
384,passive,ios,0,enabled,False
385,moderate,ios,2,enabled,False
386,passive,android,4,enabled,False
387,passive,android,11,enabled,False
388,passive,ios,1,enabled,False
389,high_engager,android,4,disabled,False
390,high_engager,ios,1,disabled,True
391,moderate,android,4,enabled,False
392,high_engager,android,4,enabled,True
393,high_engager,ios,8,enabled,False
394,moderate,ios,13,enabled,False
395,high_engager,ios,13,enabled,False
396,high_engager,android,13,enabled,False
397,passive,android,1,unknown,False
398,passive,ios,8,unknown,False
399,moderate,ios,5,enabled,False
400,high_engager,ios,6,enabled,False
401,moderate,ios,6,disabled,False
402,moderate,android,5,disabled,False
403,moderate,ios,8,disabled,False
404,moderate,android,13,enabled,False
405,moderate,android,5,enabled,False
406,moderate,ios,3,enabled,False
407,moderate,android,3,disabled,False
408,moderate,ios,4,disabled,False
409,high_engager,android,9,enabled,False
410,high_engager,ios,8,enabled,False
411,moderate,android,3,enabled,False
412,moderate,ios,10,unknown,False
413,passive,ios,1,enabled,False
414,high_engager,ios,0,disabled,False
415,passive,android,2,enabled,True
416,moderate,ios,3,enabled,False
417,high_engager,android,12,disabled,False
418,high_engager,android,2,unknown,False
419,moderate,ios,9,disabled,False
420,passive,ios,1,disabled,False
421,passive,ios,10,enabled,False
422,high_engager,ios,10,enabled,False
423,passive,android,3,enabled,False
424,high_engager,android,8,enabled,True
425,passive,ios,6,disabled,False
426,high_engager,ios,9,enabled,False
427,moderate,android,10,enabled,False
428,moderate,ios,3,disabled,False
429,moderate,ios,6,disabled,False
430,moderate,ios,13,enabled,False
431,moderate,android,3,enabled,False
432,high_engager,ios,13,enabled,False
433,moderate,ios,8,enabled,False
434,moderate,ios,6,enabled,False
435,passive,android,9,enabled,False
436,passive,android,2,disabled,False
437,high_engager,android,5,enabled,False
438,passive,android,3,disabled,False
439,moderate,ios,0,enabled,False
440,high_engager,ios,7,enabled,False
441,passive,android,4,disabled,False
442,moderate,ios,10,enabled,False
443,passive,ios,10,enabled,False
444,high_engager,ios,1,disabled,False
445,high_engager,ios,8,enabled,False
446,moderate,android,11,disabled,False
447,passive,android,1,enabled,False
448,moderate,ios,3,enabled,False
449,moderate,ios,5,unknown,False
450,moderate,android,11,enabled,True
451,moderate,ios,8,disabled,False
452,moderate,android,7,enabled,False
453,passive,android,9,disabled,False
454,passive,ios,7,enabled,False
455,high_engager,ios,9,enabled,False
456,moderate,ios,2,enabled,True
457,moderate,ios,4,enabled,False
458,high_engager,ios,8,enabled,False
459,passive,ios,9,enabled,False
460,passive,ios,6,enabled,False
461,high_engager,ios,8,enabled,False
462,passive,android,8,enabled,False
463,high_engager,android,13,enabled,False
464,moderate,android,13,disabled,False
465,high_engager,ios,3,disabled,False
466,high_engager,android,2,enabled,False
467,high_engager,ios,7,unknown,False
468,passive,android,10,enabled,False
469,passive,ios,1,enabled,False
470,passive,ios,8,enabled,False
471,moderate,ios,5,enabled,False
472,passive,android,13,disabled,False
473,moderate,ios,8,disabled,False
474,passive,android,4,enabled,False
475,high_engager,ios,12,enabled,False
476,high_engager,android,12,enabled,False
477,moderate,ios,5,enabled,False
478,passive,android,2,enabled,False
479,passive,android,1,enabled,False
480,moderate,ios,9,enabled,False
481,high_engager,android,0,disabled,False
482,moderate,ios,9,enabled,False
483,moderate,android,0,enabled,False
484,high_engager,ios,6,enabled,False
485,passive,ios,13,enabled,True
486,passive,android,5,enabled,False
487,moderate,android,4,disabled,False
488,high_engager,ios,13,disabled,False
489,moderate,android,6,enabled,False
490,moderate,android,10,enabled,False
491,passive,ios,13,disabled,False
492,high_engager,android,10,enabled,False
493,passive,ios,3,unknown,False
494,moderate,ios,10,disabled,False
495,high_engager,android,5,unknown,False
496,passive,ios,4,enabled,False
497,moderate,ios,0,disabled,False
498,high_engager,android,2,enabled,False
499,passive,ios,5,enabled,False
500,moderate,android,2,enabled,False
501,moderate,android,2,disabled,False
502,high_engager,ios,8,enabled,False
503,passive,android,9,disabled,False
504,passive,android,6,disabled,False
505,passive,ios,8,enabled,False
506,moderate,ios,4,enabled,False
507,high_engager,android,1,disabled,False
508,moderate,ios,2,enabled,False
509,passive,ios,10,disabled,False
510,passive,ios,3,enabled,False
511,moderate,ios,6,disabled,False
512,moderate,android,4,enabled,False
513,moderate,ios,10,unknown,False
514,moderate,ios,8,unknown,True
515,passive,android,1,enabled,False
516,passive,ios,8,enabled,False
517,high_engager,ios,9,enabled,False
518,high_engager,ios,9,unknown,False
519,passive,android,8,unknown,False
520,moderate,android,10,enabled,True
521,moderate,android,0,enabled,False
522,high_engager,android,10,enabled,False
523,high_engager,ios,10,disabled,False
524,moderate,ios,0,disabled,False
525,high_engager,android,13,enabled,False
526,passive,android,8,enabled,False
527,moderate,android,12,enabled,False
528,passive,android,12,enabled,False
529,moderate,ios,0,enabled,False
530,passive,ios,13,disabled,False
531,moderate,ios,9,enabled,False
532,moderate,android,0,disabled,False
533,passive,ios,0,disabled,False
534,moderate,android,5,enabled,False
535,moderate,ios,3,enabled,False
536,high_engager,android,3,unknown,False
537,high_engager,ios,10,disabled,False
538,moderate,ios,2,disabled,False
539,high_engager,android,12,enabled,False
540,moderate,ios,9,enabled,False
541,moderate,ios,12,unknown,True
542,passive,android,5,enabled,False
543,moderate,ios,9,enabled,False
544,high_engager,ios,11,disabled,False
545,moderate,android,3,enabled,False
546,passive,ios,9,enabled,False
547,moderate,android,12,enabled,False
548,moderate,android,4,enabled,False
549,moderate,android,7,disabled,False
550,passive,android,2,enabled,False
551,passive,ios,11,enabled,False
552,moderate,ios,1,enabled,True
553,moderate,ios,5,unknown,False
554,moderate,android,4,enabled,False
555,passive,android,6,disabled,False
556,passive,android,5,unknown,False
557,high_engager,ios,5,enabled,False
558,passive,android,1,enabled,True
559,high_engager,android,12,enabled,False
560,high_engager,android,6,enabled,False
561,passive,android,4,unknown,False
562,moderate,ios,11,disabled,False
563,passive,ios,2,enabled,False
564,moderate,ios,3,disabled,False
565,passive,ios,12,enabled,False
566,high_engager,android,1,unknown,False
567,moderate,ios,9,enabled,False
568,passive,ios,12,disabled,False
569,high_engager,android,2,enabled,False
570,moderate,android,4,enabled,False
571,passive,ios,6,enabled,False
572,moderate,ios,4,disabled,False
573,moderate,ios,0,enabled,False
574,moderate,ios,1,disabled,False
575,passive,android,13,disabled,False
576,high_engager,android,8,enabled,False
577,passive,ios,9,enabled,False
578,moderate,ios,9,disabled,False
579,moderate,android,5,enabled,False
580,moderate,ios,3,enabled,False
581,passive,android,12,enabled,False
582,passive,android,5,enabled,True
583,high_engager,android,3,enabled,False
584,moderate,android,13,enabled,False
585,passive,android,1,enabled,False
586,high_engager,ios,7,enabled,False
587,moderate,android,5,enabled,False
588,high_engager,android,11,enabled,False
589,moderate,android,6,enabled,False
590,passive,ios,5,enabled,False
591,passive,ios,3,enabled,True
592,passive,ios,4,enabled,False
593,high_engager,android,13,enabled,True
594,passive,ios,2,disabled,False
595,passive,ios,0,disabled,False
596,high_engager,ios,3,enabled,False
597,moderate,ios,11,enabled,True
598,moderate,ios,6,enabled,False
599,moderate,ios,9,enabled,False
600,passive,android,3,enabled,False
601,high_engager,android,12,enabled,False
602,high_engager,android,4,enabled,False
603,passive,android,9,enabled,False
604,moderate,android,7,enabled,False
605,passive,android,9,enabled,False
606,moderate,android,10,enabled,False
607,passive,ios,7,enabled,False
608,moderate,ios,13,enabled,False
609,moderate,ios,4,enabled,False
610,moderate,android,1,enabled,False
611,passive,android,10,unknown,False
612,passive,android,5,disabled,False
613,passive,ios,6,enabled,False
614,moderate,android,5,disabled,False
615,passive,ios,4,enabled,False
616,moderate,ios,3,disabled,False
617,moderate,android,12,enabled,False
618,passive,android,1,enabled,True
619,moderate,ios,12,disabled,False
620,high_engager,ios,3,enabled,False
621,moderate,ios,4,enabled,False
622,passive,ios,4,disabled,False
623,high_engager,ios,10,enabled,False
624,passive,ios,7,enabled,False
625,passive,ios,7,disabled,False
626,moderate,android,0,enabled,False
627,passive,android,1,enabled,False
628,high_engager,ios,7,unknown,False
629,moderate,ios,10,enabled,False
630,passive,android,13,enabled,False
631,moderate,ios,5,enabled,False
632,passive,ios,11,enabled,False
633,passive,ios,1,enabled,False
634,moderate,ios,9,disabled,False
635,passive,ios,6,disabled,False
636,moderate,ios,7,enabled,False
637,high_engager,ios,13,disabled,False
638,high_engager,ios,6,enabled,True
639,passive,android,1,unknown,False
640,passive,ios,3,enabled,False
641,passive,ios,0,unknown,False
642,high_engager,ios,8,disabled,True
643,passive,ios,9,disabled,False
644,moderate,ios,6,enabled,False
645,high_engager,android,10,enabled,False
646,moderate,ios,11,disabled,False
647,moderate,android,13,enabled,False
648,passive,ios,4,disabled,False
649,moderate,ios,3,enabled,False
650,passive,ios,3,enabled,False
651,passive,ios,10,enabled,False
652,moderate,ios,10,disabled,False
653,passive,android,1,enabled,False
654,moderate,ios,7,enabled,False
655,moderate,ios,3,disabled,False
656,high_engager,ios,10,disabled,True
657,passive,android,6,enabled,False
658,passive,ios,11,enabled,False
659,high_engager,android,7,enabled,False
660,passive,ios,8,disabled,False
661,moderate,ios,4,enabled,False
662,passive,android,6,enabled,False
663,passive,ios,8,enabled,False
664,moderate,ios,13,disabled,True
665,passive,ios,3,enabled,False
666,passive,android,11,disabled,False
667,moderate,ios,6,enabled,False
668,moderate,android,9,enabled,False
669,moderate,ios,2,enabled,False
670,passive,android,7,disabled,False
671,passive,android,3,enabled,False
672,high_engager,ios,2,disabled,False
673,moderate,ios,13,enabled,False
674,passive,ios,0,enabled,False
675,moderate,ios,12,enabled,False
676,moderate,android,10,enabled,False
677,passive,ios,0,disabled,False
678,moderate,ios,2,enabled,False
679,high_engager,ios,6,enabled,False
680,high_engager,android,7,disabled,False
681,moderate,ios,2,disabled,False
682,passive,ios,8,enabled,False
683,high_engager,android,8,enabled,False
684,moderate,ios,9,enabled,False
685,high_engager,android,4,enabled,False
686,passive,android,7,enabled,False
687,passive,android,9,enabled,False
688,passive,android,11,disabled,False
689,passive,android,12,enabled,False
690,passive,ios,5,disabled,False
691,passive,android,12,enabled,False
692,moderate,ios,1,disabled,False
693,passive,ios,3,disabled,False
694,high_engager,ios,12,enabled,False
695,moderate,ios,9,disabled,False
696,passive,android,1,enabled,False
697,passive,ios,0,enabled,False
698,high_engager,android,7,enabled,False
699,moderate,ios,10,unknown,False
700,moderate,ios,0,enabled,False
701,passive,android,4,enabled,False
702,moderate,android,8,disabled,False
703,high_engager,ios,10,enabled,False
704,passive,android,4,disabled,False
705,moderate,ios,10,unknown,False
706,passive,ios,8,disabled,False
707,high_engager,ios,12,enabled,False
708,passive,ios,6,enabled,False
709,passive,ios,2,disabled,False
710,moderate,android,13,disabled,False
711,high_engager,android,10,enabled,False
712,moderate,ios,3,enabled,False
713,high_engager,ios,11,enabled,False
714,passive,ios,4,enabled,False
715,high_engager,ios,9,disabled,False
716,high_engager,ios,5,enabled,False
717,passive,android,8,enabled,False
718,passive,ios,1,enabled,True
719,high_engager,ios,2,unknown,False
720,moderate,android,12,enabled,False
721,moderate,android,5,enabled,False
722,moderate,android,1,enabled,False
723,passive,android,8,enabled,False
724,moderate,android,2,unknown,False
725,moderate,ios,4,disabled,False
726,passive,ios,1,enabled,False
727,high_engager,ios,10,enabled,False
728,high_engager,android,1,enabled,True
729,high_engager,android,7,enabled,False
730,passive,android,5,disabled,True
731,moderate,ios,9,enabled,False
732,moderate,ios,2,enabled,False
733,moderate,ios,11,disabled,False
734,passive,android,12,enabled,False
735,moderate,android,2,enabled,False
736,moderate,android,13,enabled,False
737,high_engager,ios,6,disabled,False
738,passive,ios,2,disabled,False
739,passive,ios,7,unknown,False
740,moderate,android,3,enabled,False
741,high_engager,ios,6,enabled,False
742,moderate,android,4,enabled,False
743,high_engager,android,9,enabled,False
744,passive,ios,7,enabled,False
745,passive,ios,0,enabled,False
746,moderate,ios,6,disabled,False
747,passive,ios,12,enabled,False
748,passive,ios,5,unknown,False
749,passive,ios,1,enabled,False
750,high_engager,ios,3,unknown,False
751,passive,android,7,enabled,False
752,moderate,android,11,enabled,False
753,passive,android,3,disabled,False
754,moderate,ios,6,enabled,False
755,passive,ios,8,enabled,False
756,high_engager,ios,1,disabled,False
757,high_engager,ios,11,disabled,False
758,high_engager,android,10,disabled,False
759,moderate,android,0,enabled,False
760,moderate,ios,4,enabled,False
761,passive,ios,6,enabled,False
762,high_engager,ios,11,enabled,False
763,high_engager,ios,9,disabled,False
764,moderate,android,10,enabled,False
765,passive,ios,3,enabled,False
766,passive,ios,1,unknown,False
767,passive,android,9,enabled,False
768,passive,android,4,disabled,False
769,high_engager,ios,13,enabled,False
770,moderate,ios,8,enabled,False
771,passive,android,11,disabled,False
772,passive,ios,10,disabled,False
773,passive,ios,2,enabled,False
774,passive,ios,6,enabled,False
775,high_engager,ios,5,enabled,False
776,moderate,ios,7,disabled,True
777,passive,ios,6,enabled,False
778,moderate,android,1,enabled,False
779,high_engager,ios,11,disabled,False
780,passive,android,0,enabled,False
781,moderate,android,8,enabled,False
782,moderate,ios,3,enabled,False
783,passive,android,7,unknown,False
784,high_engager,android,6,disabled,False
785,moderate,ios,0,enabled,False
786,high_engager,ios,7,unknown,False
787,moderate,android,7,enabled,False
788,high_engager,ios,0,enabled,False
789,moderate,android,8,disabled,False
790,passive,ios,12,enabled,False
791,high_engager,ios,2,disabled,False
792,moderate,android,1,enabled,False
793,passive,ios,9,disabled,False
794,passive,android,12,enabled,False
795,passive,android,13,disabled,False
796,moderate,android,13,enabled,False
797,passive,ios,2,enabled,False
798,passive,ios,6,enabled,False
799,moderate,ios,12,enabled,False
800,moderate,android,11,enabled,False
801,high_engager,ios,9,disabled,False
802,passive,ios,7,disabled,True
803,moderate,ios,10,enabled,False
804,passive,ios,1,disabled,False
805,moderate,ios,6,disabled,False
806,moderate,ios,2,disabled,False
807,passive,ios,13,enabled,False
808,high_engager,ios,6,unknown,False
809,moderate,android,8,enabled,False
810,moderate,ios,4,disabled,False
811,passive,ios,0,enabled,False
812,high_engager,android,10,disabled,False
813,passive,android,1,enabled,False
814,high_engager,ios,4,disabled,False
815,passive,android,7,enabled,False
816,high_engager,ios,1,enabled,False
817,high_engager,android,11,enabled,False
818,passive,ios,11,enabled,False
819,passive,android,3,disabled,False
820,moderate,android,7,enabled,True
821,moderate,ios,10,enabled,False
822,high_engager,android,7,enabled,False
823,passive,android,0,enabled,False
824,passive,ios,5,enabled,False
825,passive,ios,5,enabled,False
826,passive,ios,6,enabled,False
827,moderate,ios,12,disabled,False
828,moderate,android,1,enabled,False
829,passive,ios,10,disabled,False
830,moderate,ios,9,enabled,False
831,passive,android,5,disabled,False
832,high_engager,ios,1,disabled,False
833,moderate,ios,11,enabled,False
834,moderate,ios,11,enabled,False
835,moderate,ios,12,enabled,False
836,moderate,ios,6,enabled,False
837,passive,ios,3,enabled,False
838,moderate,ios,0,enabled,True
839,passive,ios,2,disabled,False
840,moderate,ios,12,enabled,False
841,high_engager,android,1,enabled,False
842,moderate,ios,12,disabled,False
843,moderate,ios,8,enabled,False
844,moderate,ios,1,enabled,False
