pid,last_login_offset,reg_days_since_quit,sms_seq,reengaged
2588,13,179.0,0,0
2591,2,74.0,1,0
2592,6,16.0,0,0
2593,1,40.0,0,0
2594,0,68.0,0,0
2597,3,166.0,0,0
2598,1,137.0,1,0
2600,25,173.0,1,0
2602,28,80.0,0,0
2605,0,125.0,1,0
2608,1,139.0,1,1
2612,20,26.0,0,0
2615,6,26.0,1,0
2616,26,55.0,0,0
2618,24,62.0,0,0
2619,2,31.0,1,1
2624,15,155.0,1,0
2626,26,33.0,0,0
2627,20,128.0,0,0
2628,16,147.0,0,0
2630,21,113.0,1,1
2635,29,114.0,1,0
2636,22,10.0,0,0
2637,0,105.0,1,1
2639,2,155.0,0,0
2640,14,38.0,0,0
2645,26,122.0,0,0
2646,25,95.0,0,0
2649,26,8.0,0,0
2654,20,73.0,1,0
2656,10,117.0,1,1
2658,20,1.0,0,0
2660,23,3.0,0,0
2668,9,131.0,1,1
2678,5,90.0,0,0
2679,12,54.0,1,0
2685,13,126.0,0,0
2694,7,106.0,1,0
2699,4,119.0,0,0
2702,20,134.0,0,0
2722,6,1.0,0,0
2726,5,157.0,1,1
2727,21,89.0,1,1
2728,19,155.0,1,0
2753,16,37.0,0,0
2756,15,56.0,1,1
2758,15,152.0,1,1
2777,10,32.0,0,0
2787,10,139.0,0,0
2788,9,89.0,1,0
2792,6,100.0,0,0
2799,22,62.0,1,0
2802,14,12.0,1,0
2806,8,64.0,0,0
2809,5,69.0,1,1
2810,21,74.0,1,0
2811,14,45.0,0,0
2813,7,165.0,1,0
2817,28,18.0,1,1
2830,10,14.0,1,0
2832,5,176.0,1,0
2834,6,92.0,1,0
2837,26,143.0,0,0
2848,4,151.0,1,0
2850,25,13.0,0,0
2852,17,116.0,0,0
2853,12,177.0,0,0
2854,18,106.0,0,0
2861,20,29.0,1,1
2865,10,156.0,1,0
2877,6,121.0,1,0
2884,21,152.0,0,0
2888,22,5.0,0,0
2899,17,158.0,0,0
2904,15,114.0,0,0
2908,1,3.0,0,0
2910,15,150.0,1,0
2914,25,95.0,0,0
2916,28,21.0,1,0
2926,26,144.0,1,0
2928,9,1.0,0,0
2932,29,110.0,0,0
2934,13,74.0,0,0
2942,22,159.0,1,0
2943,29,32.0,0,0
2945,18,145.0,0,0
2947,16,143.0,0,0
2950,18,152.0,0,0
2953,25,174.0,1,0
2954,16,34.0,0,0
2955,15,15.0,0,0
2965,14,22.0,0,0
2968,1,140.0,0,0
2969,17,105.0,0,0
2971,26,75.0,0,0
2972,17,134.0,0,0
2975,22,91.0,1,1
2981,25,19.0,1,0
2982,20,178.0,0,0
2985,19,125.0,0,0
2990,6,87.0,0,0
2991,4,4.0,0,0
2992,24,14.0,0,0
3005,17,170.0,1,0
3006,5,116.0,0,0
3009,16,149.0,0,0
3010,18,11.0,1,0
3015,9,36.0,0,0
3016,12,179.0,0,0
3020,24,177.0,0,0
3023,17,36.0,1,0
3026,2,2.0,0,0
3027,26,22.0,0,0
3030,13,133.0,1,1
3036,20,84.0,1,1
3037,18,123.0,1,0
3049,22,54.0,0,0
3054,16,19.0,1,0
3057,16,30.0,0,0
3063,25,140.0,1,0
3066,17,27.0,0,0
3067,0,32.0,0,0
3071,20,52.0,0,0
3072,10,70.0,0,0
3075,14,15.0,0,0
3082,20,168.0,1,0
3083,22,77.0,0,0
3084,16,51.0,1,1
3087,29,162.0,0,0
3088,0,82.0,0,0
3094,3,25.0,0,0
3098,12,106.0,0,0
3103,20,11.0,0,0
3105,10,103.0,1,0
3112,13,96.0,1,0
3116,3,66.0,0,0
3119,28,94.0,0,0
3130,17,48.0,0,0
3135,22,1.0,0,0
3144,6,55.0,1,1
3146,12,32.0,0,0
3151,18,164.0,1,0
3159,6,142.0,0,0
3169,4,68.0,0,0
3174,2,130.0,0,0
3175,10,111.0,0,0
3176,16,110.0,1,1
3190,1,45.0,1,0
3191,15,81.0,0,0
3195,25,70.0,1,0
3197,17,80.0,1,0
3199,14,162.0,0,0
3205,11,56.0,0,0
3206,10,53.0,1,0
3208,15,98.0,1,0
3221,4,10.0,0,0
3224,22,69.0,1,1
3225,2,156.0,1,0
3229,13,48.0,0,0
3234,13,132.0,1,0
3245,0,146.0,1,1
3251,0,85.0,0,0
3254,10,53.0,1,0
3255,15,151.0,1,1
3262,27,5.0,0,0
3266,16,30.0,0,0
3275,17,49.0,0,0
3284,13,129.0,0,0
3287,5,156.0,1,1
3288,15,140.0,0,0
3289,17,33.0,1,1
3310,13,155.0,0,0
3312,7,102.0,1,0
3313,15,28.0,1,1
3318,29,53.0,1,0
3319,6,112.0,0,0
3320,18,28.0,1,0
3325,10,158.0,1,0
3337,17,133.0,0,0
3338,3,95.0,1,1
3339,9,146.0,1,0
3346,19,41.0,0,0
3349,14,121.0,1,0
3352,27,25.0,1,0
3356,17,44.0,1,0
3359,13,133.0,1,0
3369,29,92.0,1,1
3371,6,117.0,1,1
3374,25,62.0,1,0
3377,29,95.0,0,0
3381,26,159.0,1,0
3384,23,155.0,0,0
3387,16,57.0,1,1
3388,5,67.0,1,0
3390,19,126.0,0,0
3391,11,152.0,1,1
3393,20,132.0,0,0
3399,4,149.0,0,0
3413,2,13.0,0,0
3415,21,17.0,1,0
3417,21,44.0,0,0
3418,20,160.0,1,1
3419,25,140.0,0,0
3420,10,166.0,0,0
3433,9,158.0,1,0
3446,0,16.0,1,1
3447,8,108.0,0,0
3450,2,92.0,0,0
3457,6,27.0,1,1
3458,11,97.0,1,0
3459,15,176.0,1,0
3473,15,120.0,1,1
3477,20,123.0,1,0
3479,21,143.0,0,0
3480,19,73.0,1,0
3482,28,153.0,0,0
3486,23,169.0,1,0
3487,7,10.0,1,0
3489,27,167.0,1,0
3490,15,26.0,0,0
3492,28,116.0,1,0
3494,1,106.0,0,0
3495,0,146.0,1,0
3498,17,23.0,0,0
3499,27,11.0,0,0
3511,4,150.0,0,0
3512,4,164.0,0,0
3518,22,42.0,1,0
3524,11,54.0,1,0
3526,21,178.0,1,0
3533,13,141.0,0,0
3537,19,172.0,0,0
3539,29,15.0,0,0
3542,17,69.0,0,0
3545,26,123.0,0,0
3547,8,136.0,0,0
3551,8,100.0,1,0
3565,13,76.0,1,0
3567,1,71.0,0,0
3568,28,55.0,0,0
3571,29,137.0,0,0
3573,1,43.0,0,0
3574,8,61.0,1,1
3576,11,158.0,1,1
3578,29,106.0,1,1
3580,26,175.0,0,0
3581,22,17.0,1,0
3584,21,91.0,0,0
3585,19,137.0,1,1
3589,13,4.0,0,0
3590,6,2.0,0,0
3594,20,34.0,0,0
3599,5,140.0,0,0
3603,7,165.0,0,0
3605,7,168.0,1,0
3612,24,98.0,0,0
3613,17,160.0,1,1
3618,6,120.0,1,0
3619,22,15.0,1,0
3626,14,80.0,0,0
3631,15,96.0,0,0
3635,8,129.0,0,0
3643,4,164.0,0,0
3653,3,60.0,1,0
3655,20,43.0,0,0
3662,28,154.0,0,0
3665,1,73.0,0,0
3666,28,28.0,0,0
3668,10,97.0,0,0
3671,2,108.0,1,0
3674,5,63.0,1,0
3682,4,156.0,1,1
3683,24,14.0,1,0
3685,22,174.0,0,0
3693,22,126.0,1,0
3694,10,122.0,1,0
3698,0,131.0,1,1
3699,5,49.0,0,0
3700,17,90.0,1,1
3704,16,162.0,0,0
3705,15,132.0,0,0
3707,12,94.0,0,0
3709,16,154.0,1,0
3716,23,53.0,1,0
3717,16,9.0,0,0
3727,8,80.0,0,0
3728,5,122.0,1,0
3731,6,174.0,1,0
3732,26,88.0,0,0
3744,17,93.0,0,0
3748,18,176.0,0,0
3751,1,52.0,0,0
3755,5,87.0,0,0
3757,19,157.0,0,0
3760,27,52.0,1,1
3761,17,155.0,1,0
3766,9,152.0,1,0
3769,0,114.0,1,1
3778,28,137.0,0,0
3808,17,105.0,0,0
3810,4,27.0,1,0
3817,4,178.0,1,1
3822,24,49.0,0,0
3823,4,13.0,0,0
3827,21,56.0,0,0
3835,27,31.0,0,0
3845,9,100.0,1,1
3847,16,145.0,1,1
3848,6,152.0,1,0
3854,7,7.0,0,0
3855,25,131.0,0,0
3856,2,178.0,1,0
3879,17,132.0,0,0
3881,16,37.0,0,0
3883,21,157.0,1,0
3886,19,31.0,1,0
3893,24,144.0,1,1
3896,27,174.0,0,0
3904,21,130.0,0,0
3906,12,160.0,0,0
3912,23,52.0,0,0
3917,22,169.0,1,0
3922,21,30.0,1,0
3931,3,146.0,0,0
3937,15,94.0,0,0
3941,18,115.0,0,0
3942,5,168.0,0,0
3943,17,68.0,0,0
3944,26,177.0,1,0
3952,13,97.0,0,0
3962,14,81.0,1,0
3963,15,57.0,1,0
4003,2,159.0,1,0
4010,23,97.0,0,0
4029,12,170.0,0,0
4032,18,41.0,0,0
4038,14,0.0,0,0
4039,13,97.0,0,0
4040,24,108.0,1,0
4042,18,174.0,1,1
4045,19,50.0,0,0
4046,5,37.0,0,0
4051,1,60.0,0,0
4055,7,141.0,0,0
4058,21,27.0,1,0
4068,8,12.0,1,0
4084,5,112.0,0,0
4090,3,129.0,1,1
4094,10,69.0,0,0
4098,12,91.0,0,0
4105,15,33.0,1,1
4108,5,12.0,1,1
4109,0,65.0,1,1
4112,13,8.0,0,0
4114,25,60.0,0,0
4115,22,130.0,0,0
4120,7,146.0,0,0
4121,19,8.0,1,0
4127,15,12.0,1,0
4128,10,44.0,0,0
4129,17,52.0,0,0
4130,11,153.0,1,0
4137,5,98.0,1,0
4138,20,27.0,0,0
4139,24,88.0,0,0
4140,0,5.0,0,0
4141,5,165.0,1,0
4147,29,90.0,0,0
4165,19,89.0,0,0
4169,5,68.0,1,0
4173,0,8.0,0,0
4174,11,28.0,0,0
4178,13,12.0,0,0
4180,18,136.0,1,1
4183,22,141.0,1,0
4194,25,38.0,0,0
4205,14,105.0,0,0
4213,2,20.0,1,0
4220,19,117.0,0,0
4221,29,107.0,1,1
4222,3,122.0,0,0
4225,15,179.0,1,0
4230,0,124.0,1,0
4235,20,101.0,1,0
4245,24,151.0,1,1
4254,11,61.0,1,0
4255,9,13.0,0,0
4261,29,102.0,0,0
4266,21,171.0,1,1
4270,0,131.0,0,0
4271,26,75.0,0,0
4278,28,49.0,0,0
4287,1,22.0,1,0
4288,18,24.0,0,0
4291,27,32.0,1,0
4295,2,159.0,0,0
4297,16,88.0,1,0
4299,16,19.0,0,0
4302,6,130.0,0,0
4303,17,124.0,0,0
4304,15,37.0,0,0
4305,1,56.0,1,1
4307,19,109.0,0,0
4311,12,13.0,0,0
4313,28,41.0,0,0
4314,19,80.0,0,0
4317,11,167.0,0,0
4321,20,166.0,1,0
4333,24,113.0,0,0
4355,19,143.0,1,0
4367,9,64.0,0,0
4369,16,45.0,0,0
4372,28,178.0,0,0
4374,19,38.0,1,1
4376,9,11.0,0,0
4380,4,47.0,0,0
4381,13,82.0,1,1
4390,17,163.0,1,0
4400,28,35.0,0,0
4402,25,52.0,0,0
4407,7,6.0,0,0
4414,27,73.0,1,0
4416,18,6.0,0,0
4419,15,45.0,0,0
4421,1,74.0,1,1
4422,15,109.0,0,0
4423,23,112.0,1,1
4429,3,122.0,0,0
4434,17,17.0,0,0
4439,28,175.0,1,0
4441,21,24.0,0,0
4442,13,154.0,1,0
4458,8,104.0,0,0
4468,15,134.0,0,0
4469,10,59.0,1,0
4474,3,32.0,0,0
4476,9,120.0,1,0
4483,11,44.0,0,0
4484,19,57.0,1,0
4485,9,127.0,0,0
4489,21,4.0,0,0
4494,20,92.0,0,0
4500,4,54.0,1,1
4512,7,176.0,1,1
4513,16,62.0,0,0
4519,28,153.0,1,0
4524,19,129.0,1,0
4531,12,97.0,1,1
4532,0,171.0,0,0
4534,17,106.0,1,0
4543,5,149.0,0,0
4545,0,76.0,1,0
4547,4,141.0,0,0
4548,14,173.0,1,1
4551,8,58.0,1,0
4562,17,102.0,1,1
4572,6,40.0,1,0
4583,22,106.0,1,0
4585,12,138.0,0,0
4587,5,97.0,0,0
4591,27,59.0,0,0
4593,3,174.0,0,0
4594,8,62.0,1,0
4600,19,149.0,0,0
4602,15,0.0,0,0
4606,12,21.0,0,0
4607,5,127.0,1,0
4610,23,91.0,0,0
4612,29,17.0,1,0
4613,20,47.0,1,1
4618,28,83.0,1,0
4622,15,27.0,0,0
4631,29,79.0,0,0
4635,16,41.0,1,0
4641,3,171.0,0,0
4650,16,171.0,0,0
4652,28,88.0,0,0
4654,9,67.0,1,1
4670,22,149.0,1,0
4673,12,105.0,0,0
4679,2,90.0,0,0
4688,17,47.0,1,0
4689,11,159.0,0,0
4693,22,54.0,1,0
4697,22,76.0,1,0
4700,23,8.0,0,0
4705,13,142.0,0,0
4708,0,55.0,0,0
